sample_name	age	bmi	sex	race	title	updrs	height	weight	cage_id	cohoused	genotype	hy_stage	latitude	pd_class	age_units	elevation	env_biome	longitude	cage_mates	host_taxid	life_stage	description	env_feature	env_package	medications	sample_type	alt_pd_class	donor_status	env_material	geo_loc_name	mice_in_cage	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	disease_status	fecal_donor_id	host_body_site	pd_class_score	sem_group_beam	anonymized_name	hind_limb_score	host_subject_id	mean_group_beam	scientific_name	disease_duration	host_body_habitat	host_body_product	day_post_transplant	sem_group_pole_time	collection_timestamp	fecal_pellets_15_min	host_scientific_name	mean_group_pole_time	constipation_duration	constipation_severity	constipation_re_diagnosis	sem_adhesive_removal_time	mean_adhesive_removal_time	physical_specimen_location	physical_specimen_remaining	qiita_study_id
10483.BLANK7.12C	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.12C	not applicable	BLANK7.12C	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.9H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.9H	not applicable	BLANK7.9H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.546.ASO.PD4.D14	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c14	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	not provided	B67	not provided	312	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	10/08/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK1.1C	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK1.1C	not applicable	BLANK1.1C	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.543.ASO.HC4.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c52	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	561	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	not provided	C51	not provided	560	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK1.1G	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK1.1G	not applicable	BLANK1.1G	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.462.WT.PD3.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c43	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	539	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	4	not provided	A58	not provided	536	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	01/18/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.11D	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.11D	not applicable	BLANK7.11D	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.461.ASO.HC3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0322	c44	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	537	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	0.4272	D23	0	538	3.536	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.5908	03/07/2016 10:00	8	mus musculus	5.265	not provided	not provided	not provided	0.2015	1.718	UCSDMI	TRUE	10483
10483.recip.226.ASO.OB1.D7	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0306	c36	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	456	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	2	1.0357	D9	0	458	5.753	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.781	01/04/2016 10:00	5	mus musculus	11.75	not provided	not provided	not provided	0.5442	3.05	UCSDMI	TRUE	10483
10483.BLANK7.7G	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.7G	not applicable	BLANK7.7G	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.6C	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.6C	not applicable	BLANK7.6C	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.9F	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.9F	not applicable	BLANK7.9F	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.10A	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.10A	not applicable	BLANK7.10A	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.11A	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.11A	not applicable	BLANK7.11A	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.621.ASO.HC5.D7	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c65	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	617	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	4	not provided	F19	not provided	615	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.317.ASO.HC1.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c23	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	389	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	1	not provided	A25	not provided	388	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.462.WT.PD3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0334	c44	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	536	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	4	1.446	D24	1	539	8.047	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.264	03/07/2016 10:00	4	mus musculus	14.38	not provided	not provided	not provided	1.41	4.969	UCSDMI	TRUE	10483
10483.BLANK7.8H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.8H	not applicable	BLANK7.8H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK5.4H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK5.4H	not applicable	BLANK5.4H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.467.WT.HC3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c47	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	545	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	not provided	C44	not provided	544	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK2.2C	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK2.2C	not applicable	BLANK2.2C	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.12E	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.12E	not applicable	BLANK7.12E	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.5B	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.5B	not applicable	BLANK7.5B	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.454.WT.PD3.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c39	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	463	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	3	not provided	A50	not provided	462	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/16/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.464.WT.PD3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0395	c46	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1				TRUE	not provided	dys_154a	uberon:feces	1	0.1226	D26	0	542	2.063	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.018	03/07/2016 10:00	9	mus musculus	7.328	not provided	not provided	not provided	0.1715	1.321	UCSDMI	TRUE	10483
10483.recip.291.WT.OB2.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c72	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	625	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	1	not provided	F10	not provided	624	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.11F	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.11F	not applicable	BLANK7.11F	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK4.5B	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK4.5B	not applicable	BLANK4.5B	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.642.ASO.HC6.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c84	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	1	not provided	F67	not provided	649	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.325.ASO.PD1.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c27	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	403	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	4	not provided	A32	not provided	402	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.458.ASO.HC3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0357	c42	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	468	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	1	0.6048	D20	0	469	4.622	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.4054	01/04/2016 10:00	5	mus musculus	4.394	not provided	not provided	not provided	0.3209	1.841	UCSDMI	TRUE	10483
10483.recip.631.WT.PD5.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c78	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	3	not provided	F57	not provided	639	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.639.WT.PD6.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c83	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	648	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	not provided	G12	not provided	647	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.456.ASO.HC3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c41	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	465	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	C32	not provided	466	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/30/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.637.ASO.PD6.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c82	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	646	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	3	not provided	G10	not provided	645	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK1.1B	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK1.1B	not applicable	BLANK1.1B	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.388.WT.HC2.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c28	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	411	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinson's Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	2	not provided	A35	not provided	412	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
