age	bmi	sex	race	title	updrs	height	weight	cage_id	cohoused	genotype	hy_stage	latitude	pd_class	age_units	elevation	env_biome	longitude	cage_mates	host_taxid	life_stage	description	env_feature	env_package	medications	sample_type	alt_pd_class	donor_status	env_material	geo_loc_name	mice_in_cage	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	disease_status	fecal_donor_id	host_body_site	pd_class_score	sem_group_beam	anonymized_name	hind_limb_score	host_subject_id	mean_group_beam	scientific_name	disease_duration	host_body_habitat	host_body_product	day_post_transplant	sem_group_pole_time	collection_timestamp	fecal_pellets_15_min	host_scientific_name	mean_group_pole_time	constipation_duration	constipation_severity	constipation_re_diagnosis	sem_adhesive_removal_time	mean_adhesive_removal_time	physical_specimen_location	physical_specimen_remaining	qiita_study_id
10483.BLANK7.7D	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.7D	not applicable	BLANK7.7D	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.644.WT.HC6.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0287	c84	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	0.4787	G34	1	650	5.311	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	4.11	04/04/2016 10:00	0	mus musculus	18.92	not provided	not provided	not provided	0.7391	4.104	UCSDMI	TRUE	10483
10483.BLANK7.7A	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.7A	not applicable	BLANK7.7A	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.542.WT.HC4.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.033	c52	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	560	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	0.5507	D36	1	561	5.349	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.294	03/07/2016 10:00	4	mus musculus	9.737	not provided	not provided	not provided	0.7689	4.153	UCSDMI	TRUE	10483
10483.BLANK7.8B	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.8B	not applicable	BLANK7.8B	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.7E	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.7E	not applicable	BLANK7.7E	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.467.WT.HC3.D14.a	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c46	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	1	not provided	B56	not provided	542	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	01/25/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.467.WT.HC3.D7.a	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c45	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	540	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	not provided	A63	not provided	541	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	01/18/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.623.WT.PD5.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0275	c74	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	633	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	2	0.3842	F53	1	635	4.044	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.9321	04/04/2016 10:00	3	mus musculus	10.64	not provided	not provided	not provided	0.6819	3.211	UCSDMI	TRUE	10483
10483.BLANK2.2F	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK2.2F	not applicable	BLANK2.2F	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.541.ASO.HC4.D7	46	26.6	female	caucasian	sampson_mazmanian_parkinsons_mice	16	not provided	not provided	not provided	not provided	not provided	1	34.1386	not provided	years	767	urban biome	-118.1255	not provided	9606	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	human-associated habitat	human-gut	none	feces	not provided	pd	feces	USA:CA:Pasadena	not provided	Host-associated	Animal	Animal distal gut	TRUE	pd	pdgi_7	uberon:feces	not provided	not provided	A7	not provided	PDGI_7	not provided	human gut metagenome	2	uberon:feces	uberon:feces	not provided	not provided	restricted access	not provided	homo sapiens	not provided	5	2	before	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.457.WT.HC3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.028	c32	false	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	2.107	D2	1	436	10.77	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.954	01/04/2016 10:00	3	mus musculus	12.06	not provided	not provided	not provided	0.4827	5.55	UCSDMI	TRUE	10483
10483.recip.386.WT.PD2.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c27	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	402	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	4	not provided	A33	not provided	403	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.548.ASO.PD4.D14	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c16	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	315	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	not provided	B69	not provided	314	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	10/08/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.11G	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.11G	not applicable	BLANK7.11G	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.620.ASO.HC5.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c75	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	1	not provided	F34	not provided	634	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.461.ASO.HC3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c43	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	538	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	not provided	C37	not provided	537	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.467.WT.PD3.D21.a	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c46	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	1	not provided	C42	not provided	542	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.623.WT.PD5.D14	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0279	c65	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	617	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	4	0.5244	F37	1	615	4.903	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.626	04/04/2016 10:00	3	mus musculus	17.47	not provided	not provided	not provided	0.8581	5.319	UCSDMI	TRUE	10483
10483.BLANK6.6F	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK6.6F	not applicable	BLANK6.6F	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.651.ASO.HC6.D7	56	22	female	caucasian	sampson_mazmanian_parkinsons_mice	15	not provided	not provided	not provided	not provided	not provided	1.5	34.1386	not provided	years	767	urban biome	-118.1255	not provided	9606	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	human-associated habitat	human-gut	ranitidine 150mg	feces	not provided	pd	feces	USA:CA:Pasadena	not provided	Host-associated	Animal	Animal distal gut	TRUE	pd	pdgi_3	uberon:feces	not provided	not provided	F75	not provided	PDGI_3	not provided	human gut metagenome	1	uberon:feces	uberon:feces	not provided	not provided	restricted access	not provided	homo sapiens	not provided	30	7	before	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.462.WT.PD3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c44	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	537	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	not provided	C38	not provided	538	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.401.ASO.HC2.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c33	false	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	B33	not provided	452	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/23/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.12A	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.12A	not applicable	BLANK7.12A	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.548.ASO.PD4.D7	50	28.6	female	african american	sampson_mazmanian_parkinsons_mice		not provided	not provided	not provided	not provided	not provided	not provided	34.1386	not provided	years	767	urban biome	-118.1255	not provided	9606	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	human-associated habitat	human-gut	none	feces	not provided	healthy	feces	USA:CA:Pasadena	not provided	Host-associated	Animal	Animal distal gut	TRUE	healthy	dys_154a	uberon:feces	not provided	not provided	A8	not provided	DYS_154A	not provided	human gut metagenome	not provided	uberon:feces	uberon:feces	not provided	not provided	restricted access	not provided	homo sapiens	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.624.WT.HC5.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c76	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	637	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	not provided	F54	not provided	636	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.437.ASO.HC3.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c38	false	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	2	not provided	A49	not provided	461	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/16/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.317.ASO.HC1.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c20	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_1	uberon:feces	3	not provided	B78	not provided	324	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	10/08/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.386.WT.PD2.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c28	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	412	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	2	not provided	B26	not provided	411	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/12/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.632.ASO.PD5.D14	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0241	c68	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	1	0.7358	F41	0	619	2.853	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.463	04/04/2016 10:00	8	mus musculus	7.12	not provided	not provided	not provided	0.4843	2.198	UCSDMI	TRUE	10483
10483.recip.540.ASO.HC4.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c50	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	547	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	not provided	C49	not provided	549	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.650.ASO.PD6.D7	43	29	male	caucasian	sampson_mazmanian_parkinsons_mice		not provided	not provided	not provided	not provided	not provided	not provided	34.1386	not provided	years	767	urban biome	-118.1255	not provided	9606	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	human-associated habitat	human-gut	not provided	feces	not provided	healthy	feces	USA:CA:Pasadena	not provided	Host-associated	Animal	Animal distal gut	TRUE	healthy	mma_058	uberon:feces	not provided	not provided	F74	not provided	MMA_058	not provided	human gut metagenome	not provided	uberon:feces	uberon:feces	not provided	not provided	restricted access	not provided	homo sapiens	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.632.ASO.PD5.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c79	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	641	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	2	not provided	F58	not provided	640	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.621.ASO.HC5.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c74	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	633	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	2	not provided	F35	not provided	635	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.321.WT.PD1.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0312	c23	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	389	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	1	0.8747	C69	0	388	4.678	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.509	12/17/2015 10:00	5	mus musculus	7.096	not provided	not provided	not provided	0.4704	1.94	UCSDMI	TRUE	10483
10483.recip.546.ASO.PD4.D21	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0291	c15	false	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	2	0.6384	C54	1	313	6.003	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.4602	11/12/2015 10:00	1	mus musculus	6.171	not provided	not provided	not provided	0.4423	2.315	UCSDMI	TRUE	10483
10483.BLANK5.4A	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK5.4A	not applicable	BLANK5.4A	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.648.ASO.PD6.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c86	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	653	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	2	not provided	F72	not provided	654	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.390.ASO.PD2.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c32	false	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	C17	not provided	436	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/30/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
